inchikey,smiles,pIC50,n_records,molecule_chembl_id,mw,ic50_uM,ic50_ug_mL,cell_line
QOIHYOFPDRZJAT-HVDNRGBLSA-N,CCC1=C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@](O)(CNC(=O)[C@H]5CNC(=O)O5)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,6.199970640755866,1,CHEMBL227864,877.0519999999998,0.631,0.5534198119999999,A549
QOJLUFXYXIQBIV-XNBWIAOKSA-N,C=CCOC(=O)NC[C@H]1O[C@@H](N(CCCc2ccc(N(CCCl)CCCl)cc2)OC)[C@H](O)[C@@H](O)[C@@H]1O,5.346787486224656,1,CHEMBL1277156,550.4800000000004,4.500000000000003,2.477160000000003,A549
QOKGFICMPVDWTL-VHHOZFFRSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H](CC(=O)O)[C@@H]([C@@]3(C)CCCCC3=O)CC[C@]12C,4.966576244513051,1,CHEMBL169414,418.6620000000004,10.799999999999994,4.521549600000001,A549
QOKGYBGHKQAYBV-UHFFFAOYSA-N,CC(OCNc1n[n+]([O-])c2ccccc2[n+]1[O-])c1ccccc1,5.559162194610257,2,CHEMBL1689494,312.329,2.759547064284281,0.8618865750408452,A549
QOOLXKNUAFJGLD-UHFFFAOYSA-N,CN1c2ccccc2C(=O)N2CCc3c(n(C(=O)c4ccc(Cl)cc4Cl)c4ccccc34)C21,5.275724130399211,1,CHEMBL1277316,476.36300000000006,5.300000000000002,2.524723900000001,A549
QOQVDMLPZGALKE-UHFFFAOYSA-N,COc1ccc(C(=O)OCCCCCCOC(=O)c2ccc(OC)c(OC)c2)cc1OC,4.337242168318426,1,CHEMBL1164098,446.49600000000015,46.00000000000003,20.538816000000022,A549
QOSQRJOFYLWCJR-UHFFFAOYSA-N,COc1cccc(C#Cc2nc3ncccc3nc2OCCCN(C)C)c1,6.455931955649724,1,CHEMBL1822340,362.4330000000002,0.35000000000000003,0.1268515500000001,A549
QOVAUBWYDGPSKT-UHFFFAOYSA-N,CC(C)Cn1nnc2c1C(=O)c1cnncc1C2=O,6.958607314841775,1,CHEMBL261341,257.253,0.11000000000000008,0.02829783000000002,A549
QOVRUHNFLAHBBB-SRVKXCTJSA-N,CC(C)=C1C=C2[C@@H](CC[C@@H]2C)[C@@H](C)CC1=O,5.0,1,CHEMBL503279,218.33999999999997,10.0,2.1834,A549
QPBBQXZJTIVCTO-VWXLKGNHSA-N,CC1=CC(=O)[C@@H](O)[C@@]2(C)[C@H]1[C@@H](O)[C@H]1OC(=O)[C@H](O)[C@]3(O)[C@]14CO[C@]3(CO)[C@@H](O)[C@H](O)[C@H]24,5.42021640338319,1,CHEMBL1923105,442.4170000000002,3.8,1.6811846000000008,A549
QPBWAIBGHJOAES-UHFFFAOYSA-N,COc1cc(OC)c2cc(-c3ccc(OCc4ccccc4)cc3)c(O)nc2c1,5.0,1,CHEMBL85742,387.43500000000006,10.0,3.87435,A549
QPKZNXSXCNZSDC-UHFFFAOYSA-N,Clc1ccc2c(c1Nc1ncnc3cc(OCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2,6.522878745280337,1,CHEMBL385563,512.9940000000005,0.3000000000000001,0.1538982000000002,A549
QPLKYWUHABWZHD-UHFFFAOYSA-N,COc1ccc(CCNc2nc3ccccc3c3[nH]c4ccccc4c23)cc1OC,5.268411234813261,1,CHEMBL606049,397.4780000000002,5.390000000000006,2.1424064200000035,A549
QPMVBTMUWDUUTJ-KZYULCMASA-N,CC(=O)O[C@H]1C[C@]2(O)C(COC(=O)C(OC(=O)CC(C)C)C(C)C)=CO[C@@H](OC(=O)CC(C)C)[C@@H]2[C@@]12CO2,5.130768280269024,1,CHEMBL556679,540.6060000000003,7.4,4.000484400000002,A549
QPOXXYLYRCNOES-UHFFFAOYSA-N,C=CCn1c(-c2ccc(OC)cc2C=C)cc2ccccc2c1=O,4.763714722551971,1,CHEMBL1819377,317.38800000000003,17.230000000000004,5.468595240000002,A549
QPRJKSZSXBGNML-ZMNYHHRKSA-N,CC(C)C[C@@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)CC[C@H]1O,7.872895201635192,1,CHEMBL1818812,530.7460000000005,0.013400000000000016,0.0071119964000000155,A549
QPVURBGIVVOVFI-GBXCKJPGSA-N,CCOc1cc2c3c(c4ccc(O)cc4c2cc1OCC)[C@H](O)[C@@H]1CCCN1C3,9.154901959985743,1,CHEMBL1645000,393.48300000000023,0.0007000000000000001,0.00027543810000000017,A549
QPXINYCZKGHJFY-UHFFFAOYSA-N,CCOCCCn1c(C(C)C)nc2cc3c(Nc4ccc(OC)cc4)ncnc3cc21,5.338187314462739,1,CHEMBL515709,419.52900000000017,4.589999999999998,1.92563811,A549
QPZGFCIOPOCRRK-UHFFFAOYSA-N,CC(CCC(C)C1CCC2C3CC4OC45CC(O)CCC5(C)C3CCC12C)C1CC1C,5.008773924307505,1,CHEMBL3138484,428.7010000000003,9.800000000000006,4.201269800000006,A549
QQCHDXYOYDDRFY-UHFFFAOYSA-N,COC(=O)c1c(-c2cc(OC)c(O)cc2O)c(-c2ccc(O)c(OC)c2)c2c3cc(OC)c(O)cc3ccn12,6.346787486224656,1,CHEMBL377406,531.5170000000003,0.4500000000000003,0.23918265000000027,A549
QQECVWUIFIPTKP-JQATWIJFSA-N,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C/C)C(C)(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7O[C@@H](CO)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)[C@@H](O)[C@@H](O)[C@]21CO,4.671009144550571,1,CHEMBL1095027,1157.3070000000005,21.330000000000002,24.685358310000012,A549
QQECVWUIFIPTKP-QSGLCYTBSA-N,C/C=C(\C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C/C)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7O[C@@H](CO)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,4.625985259708089,1,CHEMBL1095025,1157.3070000000005,23.65999999999998,27.381883619999986,A549
QQEICWBYUTVTEA-UHFFFAOYSA-N,COc1ccc(Cc2cc(OC)c(OC)c(OC)c2)cc1,5.698970004336019,1,CHEMBL295663,288.34299999999996,2.0000000000000004,0.576686,A549
QQJKUGNZWORECT-UHFFFAOYSA-N,CN1c2ccccc2-c2nn(CCN3CCCC3)c3cc4c(c1c23)C=CC(C)(C)O4,5.0,1,CHEMBL88803,400.52600000000007,10.0,4.005260000000001,A549
QQJXFAPGUSYJSF-UHFFFAOYSA-N,CC(C)CCc1c(OCCCCC(=O)NO)ccc(CCC(=O)NO)c1O,4.999132278468773,1,CHEMBL1822040,382.45700000000016,10.020000000000005,3.8322191400000034,A549
QQQNFIABWPXSFD-PUYFONRISA-N,COC(=O)/C(C)=C\C[C@@]12OC(C)(C)[C@H]3C[C@@H](C=C4C(=O)c5c(O)c6c(c(C/C=C(\C)CO)c5O[C@]431)O[C@]1(C)CCC(=C(C)C)C6C1)C2=O,5.806875401645538,1,CHEMBL1241415,658.788,1.5600000000000016,1.0277092800000012,A549
QQRIPRBUSMRPRO-HNNXBMFYSA-N,COc1ccc2c3c(c4cc(OC)c(OC)cc4c2c1)C[C@H]1CN(CCO)CN1C3,5.355561410532161,1,CHEMBL1813672,408.4980000000002,4.4100000000000055,1.8014761800000032,A549
QQSXKYPMNYPXQF-UHFFFAOYSA-N,C#Cn1ccnc1C#Cc1ccccc1,5.221848749616356,1,CHEMBL1808033,192.22100000000003,6.000000000000003,1.1533260000000007,A549
QQUVXGHLYLMNCY-UHFFFAOYSA-N,COc1cc(C)cc(-c2nn(CC#N)cc2-c2ccc(-c3cccc(C(C)=O)c3)nc2)c1,5.412289034981089,1,CHEMBL576953,422.48800000000017,3.87,1.6350285600000007,A549
QQVJYADQJMXFCW-FNORWQNLSA-N,O=C(/C=C/c1c[nH]c2ccccc12)c1ccc2c(c1)OCO2,4.8923663282841385,2,CHEMBL1171413,291.3060000000001,12.812493902437584,3.732356348743484,A549
QQYJXYWLBJTKJC-SANMLTNESA-N,CCCCN1COc2ccc3nc4c(cc3c2C1)Cn1c-4cc2c(c1=O)COC(=O)[C@]2(O)CC,6.698970004336019,1,CHEMBL509828,461.51800000000026,0.20000000000000004,0.09230360000000007,A549
QQYZNZVWHHAJNQ-LBGCCIGVSA-N,C=C(C)[C@@H]1CC[C@]2([C@@H]3O[C@H]3C(=O)N(CC)CC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,5.251811972993799,1,CHEMBL600449,595.9090000000002,5.600000000000003,3.3370904000000032,A549
QRDHVGGKSGYWJG-VKUUSHOMSA-N,CC/C=C/C(CC)CC(C)C[C@]1(CC)C[C@H](CC)[C@H](CC(=O)OC)OO1,5.167491087293763,1,CHEMBL477489,368.5580000000001,6.800000000000004,2.5061944000000023,A549
QRFYBUZRQYAXAV-UHFFFAOYSA-N,COc1ccc2[nH]c3c(C)c4c(c(C)c3c2c1)CN(C)C=C4,6.0030507515046185,1,CHEMBL70108,292.382,0.9930000000000007,0.29033532600000017,A549
QRGHOAATPOLDPF-VQFNDLOPSA-N,O=C(NO)c1cnc(N2C[C@@H]3[C@H](C2)[C@H]3NCc2ccc3cc(F)ccc3n2)nc1,6.6020599913279625,1,CHEMBL1801250,394.4100000000001,0.24999999999999994,0.0986025,A549
QRHNRIXLGPIKQW-SMHDKVMMSA-N,CC(=O)OC[C@H]1O[C@@H](NC(=O)CCCc2ccc(N(CCCl)CCCl)cc2)[C@H](F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,5.267606240177031,1,CHEMBL515128,593.4760000000001,5.400000000000007,3.2047704000000046,A549
QRIRJBWPCUYVPR-GXSJLCMTSA-N,O=C1N[C@H]2n3c(cc(Br)c3Br)C(=O)N3CCC[C@]23N1,6.17000191130262,1,CHEMBL390234,390.03500000000014,0.6760800000000008,0.26369486280000043,A549
QRLRCARFERUXNH-WWVVZQDESA-N,CCC1=C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@](O)(CNC(=O)Oc5ccc(OC)cc5)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,6.437707135543525,1,CHEMBL426362,914.1129999999998,0.36499999999999994,0.33365124499999993,A549
QRMFVUWCQJYLQX-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)n2c(C3(O)C=CC(=O)C=C3)cc3ccncc32)cc1,6.301029995663981,1,CHEMBL374365,380.42500000000007,0.49999999999999994,0.1902125,A549
QRNGTFCYIZAZOC-VBHAUSMQSA-N,CNC(=O)NC[C@H]1O[C@@H](n2cnc3c(NC(=O)Nc4ccccc4)ncnc32)[C@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[Si](C)(C)C(C)(C)C,5.538801114225389,2,CHEMBL1076332,670.9640000000002,2.892003976484126,1.9404305560776953,A549
QRPJOTCSWYSNTK-UHFFFAOYSA-N,N#CCCCc1cnc2c3c(cccc13)Nc1ccccc1-2,5.590066876668706,1,CHEMBL43229,285.35,2.5699999999999976,0.7333494999999993,A549
QRUMWKUEPCWNMU-BHGWPJFGSA-N,COc1cccc(OC)c1/C=N/NC(=O)Cc1csc2nc(-c3ccc(Br)cc3)cn12,4.939999856829448,1,CHEMBL230252,499.3900000000001,11.48154,5.733766260600001,A549
QSCCALTWKIPBQQ-STZFKDTASA-N,O=C1NC(=S)S/C1=C\c1cc(-c2ccccc2)ccc1OCc1ccccc1,5.3979400086720375,1,CHEMBL183838,403.5280000000002,4.000000000000001,1.6141120000000013,A549
QSJNAFJALFWFMT-UHFFFAOYSA-N,O=C1c2nccc(O)c2-c2nc3ccccc3c3ccnc1c23,7.096910013008056,1,CHEMBL327101,299.28900000000004,0.08000000000000003,0.023943120000000012,A549
QSUSNXLKJBXCEA-LJQANCHMSA-N,CCc1cc(S(=O)(=O)N2C[C@H](c3ccccc3)NC2=O)ccc1NC(=O)NC(C)C,7.0,1,CHEMBL1911261,430.53000000000014,0.1,0.04305300000000002,A549
QSVDQTBZAUWQKP-WVUACWIUSA-N,CC(=O)OC[C@H]1O[C@@H](NC(=O)CCCNC(=O)CCCc2ccc(N(CCCl)CCCl)cc2)[C@H](F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,4.886056647693163,1,CHEMBL450957,678.5820000000003,13.000000000000005,8.821566000000008,A549
QSVDRGTXPDNZQZ-UHFFFAOYSA-N,O=C(CC1Sc2ncnn2C1=O)Nc1ccc(Br)cc1,4.449999986821809,1,CHEMBL243652,353.201,35.48133999999997,12.53204476933999,A549
