midpoint_param,true_absolute_ic50,p_bracketed,p_extrapolated,loglin_median,loglin_bias_pct,loglin_cv_pct,fourpl_median,fourpl_bias_pct,fourpl_cv_pct
25,26.798890810311082,1.0,0.0,28.187992309232012,5.183429078290293,5.891830588047768,26.75453558560755,-0.16551141992215387,4.792299558687718
50,53.59778162062217,1.0,0.0,54.57193336245182,1.8175225025634987,5.017659493507386,53.638919862273454,0.0767536274961312,4.919069066080788
75,80.39667243105313,1.0,0.0,79.37548223742996,-1.270189626938759,5.173980245214262,80.49552145792717,0.12295163952066084,4.956840662677729
100,107.19556324124436,1.0,0.0,107.60909655931316,0.38577465854453435,5.7298517468476176,107.44866949307598,0.23611635050790988,4.86903529685679
150,160.79334486152587,1.0,0.18,185.65541509317381,15.462126403962175,7.791538117852811,163.0363228309502,1.3949445304194539,4.748278559197764
200,214.3911264824887,0.08333333333333333,1.0,314.04923111943674,46.48424879892968,11.160499283381277,223.3148738946875,4.16236789209077,6.48887294562843
300,321.58668972332083,0.0,1.0,906.7765193227283,181.96954298788896,22.598834948942333,362.57710304649237,12.746302826910501,44.790650323751564
450,482.38003458485355,0.0,1.0,4771.256346001808,889.107343571558,60.7205536594859,652.9201077286913,35.35388302101021,84.77046639338296
700,750.3689426877525,0.0,1.0,91993.91229129731,12159.824075578554,715.2619946976358,1588.882850077797,111.74688339133078,231.01553513294735
1000,1071.9556324110702,0.0,1.0,4103242.1554591004,382680.96885689034,3406.8696944485014,4475.880609547425,317.5434574171843,3060.0167035242666
