rule,sample,conc_ppm,trial,replicate,abs_570,abs_blank_used,abs_control_used,viability_pct,cytotoxicity_pct
all_wells,MBEE,400.0,1,R1,0.62,0.09966666666666668,1.3323333333333334,42.212006489994586,57.787993510005414
all_wells,MBEE,400.0,1,R2,0.774,0.09966666666666668,1.3323333333333334,54.7052460789616,45.2947539210384
all_wells,MBEE,400.0,1,R3,0.818,0.09966666666666668,1.3323333333333334,58.27474310438073,41.72525689561927
all_wells,MBEE,200.0,1,R1,0.928,0.09966666666666668,1.3323333333333334,67.19848566792861,32.80151433207139
all_wells,MBEE,200.0,1,R2,0.787,0.09966666666666668,1.3323333333333334,55.75987020010816,44.24012979989184
all_wells,MBEE,200.0,1,R3,1.059,0.09966666666666668,1.3323333333333334,77.82585181179014,22.174148188209855
all_wells,MBEE,100.0,1,R1,0.811,0.09966666666666668,1.3323333333333334,57.70686857760951,42.29313142239049
all_wells,MBEE,100.0,1,R2,0.77,0.09966666666666668,1.3323333333333334,54.38074634937804,45.61925365062196
all_wells,MBEE,100.0,1,R3,1.274,0.09966666666666668,1.3323333333333334,95.26771227690641,4.732287723093592
all_wells,MBEE,50.0,1,R1,1.032,0.09966666666666668,1.3323333333333334,75.63547863710113,24.36452136289887
all_wells,MBEE,50.0,1,R2,1.196,0.09966666666666668,1.3323333333333334,88.93996755002703,11.060032449972965
all_wells,MBEE,50.0,1,R3,1.298,0.09966666666666668,1.3323333333333334,97.21471065440777,2.7852893455922327
all_wells,MBEE,25.0,1,R1,1.206,0.09966666666666668,1.3323333333333334,89.75121687398591,10.24878312601409
all_wells,MBEE,25.0,1,R2,1.022,0.09966666666666668,1.3323333333333334,74.82422931314223,25.175770686857774
all_wells,MBEE,25.0,1,R3,1.317,0.09966666666666668,1.3323333333333334,98.75608436992968,1.243915630070319
all_wells,MBEE,12.5,1,R1,1.335,0.09966666666666668,1.3323333333333334,100.21633315305569,-0.216333153055686
all_wells,MBEE,12.5,1,R2,1.268,0.09966666666666668,1.3323333333333334,94.7809626825311,5.219037317468903
all_wells,MBEE,12.5,1,R3,1.34,0.09966666666666668,1.3323333333333334,100.62195781503516,-0.6219578150351595
all_wells,DOX,50.0,1,R1,0.739,0.09966666666666668,1.3323333333333334,51.86587344510546,48.13412655489454
