split,model,cv_Q2,test_R2,test_RMSE,test_MAE,y_rand_Q2,n_train,n_test,gate_G2
random,RandomForest,0.6148477341186647,0.6477264479845963,0.7336969716910297,0.5447778368959666,-0.1739006714964193,5573,1394,True
random,Ridge,0.48543986264474326,0.5150921164830373,0.8608080698333512,0.6568429002026208,-0.1739006714964193,5573,1394,False
random,XGBoost,0.6690563047701932,0.7118341848217598,0.6635871034925586,0.4808893871345378,-0.1739006714964193,5573,1394,True
scaffold,RandomForest,0.5700029407696839,0.4770091015424097,1.07359257511968,0.7924930721321918,-0.1739006714964193,5574,1393,False
scaffold,Ridge,0.44088572732818854,0.417124739892096,1.1333922663866562,0.8572165905003469,-0.1739006714964193,5574,1393,False
scaffold,XGBoost,0.6382555720127134,0.5617135488201428,0.98281427662128,0.72917836756729,-0.1739006714964193,5574,1393,False
